Concentração,Raio final,Incerteza estatística (raio),Concentração,Velocidade final,Incerteza estatística (velocidade)
1/2,"0,08498528","0,0",1/2,"0,204",Sem  
1/5,"0,081","0,004",1/5,"0,16","0,01"
1/10,"0,086","0,002",1/10,"0,170","0,008"
1/20,"0,077","0,001",1/20,"0,11","0,03"
1/30,"0,069","0,001",1/30,"0,131","0,001"
1/40,"0,057","0,002",1/40,"0,113","0,004"
1/50,"0,0620","0,0006",1/50,"0,103","0,002"
1/60,"0,051","0,004",1/60,"0,117",0
1/70,"0,049","0,005",1/70,"0,066","0,008"
1/80,"0,040","0,004",1/80,"0,08448",0
1/90,"0,046","0,001",1/90,"0,069","0,006"
1/100,"0,035","0,003",1/100,"0,081","0,002"
1/120,"0,037","0,003",1/120,"0,068","0,003"
1/150,"0,035","0,002",1/150,"0,050","0,006"
1/200,"0,025","0,001",1/200,"0,0740","0,0005"
